"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,        -4.6185565,      -4.646002352,      -5.074567947,      -4.556809491,      -4.011390499
          0,           0,           1,      -4.672122685,      -4.469661871,      -4.898614581,      -4.595156144,      -4.033704876
          0,           0,           2,      -4.577570263,      -4.424638725,      -4.636376575,      -4.438181983,      -3.964594256
          0,           0,           3,      -4.531358706,      -4.465965703,      -4.516260378,      -4.407658532,      -3.939551427
          0,           0,           4,      -4.486411327,      -4.468425162,      -4.471546797,      -4.375484435,       -3.89781113
          0,           0,           5,      -4.445015736,      -4.441553689,      -4.458046501,      -4.334852936,       -3.85590704
          0,           0,           6,        -4.4152745,       -4.40934075,      -4.448921968,      -4.305068615,      -3.827803567
          0,           0,           7,      -4.405567754,      -4.398668756,      -4.437457452,      -4.289319915,      -3.821703194
          0,           0,           8,       -4.41255924,      -4.414711101,      -4.432013555,      -4.287252299,      -3.833608303
          0,           0,           9,      -4.429635213,      -4.451983493,      -4.436483475,      -4.296171847,      -3.856598447
          0,           0,          10,      -4.446010816,      -4.499281251,      -4.449518737,      -4.314806455,      -3.878529171
          0,           0,          11,      -4.455847655,       -4.54070413,      -4.466404612,      -4.341872612,      -3.891406371
          0,           0,          12,      -4.464923047,      -4.568190323,       -4.48195476,      -4.372722436,      -3.900847147
          0,           0,          13,      -4.480666436,      -4.586369339,      -4.494608137,      -4.401025329,      -3.915586198
          0,           0,          14,       -4.50346223,      -4.600250903,      -4.506438649,      -4.423825041,      -3.936744845
          0,           0,          15,      -4.527842616,      -4.609397082,      -4.519826113,      -4.443141766,       -3.95900479
          0,           0,          16,      -4.548260354,      -4.613356833,      -4.535613555,      -4.462660365,      -3.977264621
          0,           0,          17,       -4.56356066,      -4.615735214,      -4.553685799,      -4.484347323,      -3.991294106
          0,           0,          18,      -4.576793724,       -4.62192053,      -4.573699912,      -4.507978576,      -4.004877789
          0,           0,          19,      -4.591672492,       -4.63563405,      -4.595322702,      -4.532433688,       -4.02187588
          0,           0,          20,      -4.610183171,      -4.657792059,      -4.618209717,      -4.557042312,      -4.043946278
          0,           0,          21,      -4.632428402,      -4.687116585,      -4.641905761,      -4.581948722,      -4.070614412
          0,           0,          22,       -4.65750326,      -4.721063742,      -4.666020759,      -4.607692136,       -4.10030235
          0,           0,          23,      -4.684329841,      -4.756762568,      -4.690281576,      -4.634510504,       -4.13129777
          0,           0,          24,      -4.712116585,      -4.791779532,      -4.714625614,      -4.662075291,      -4.162375357
          0,           0,          25,       -4.74042542,      -4.824575009,      -4.739137406,      -4.689649763,      -4.192926257
          0,           0,          26,      -4.768985058,      -4.854486334,      -4.764005282,      -4.716462179,      -4.222714618
          0,           0,          27,      -4.797527087,      -4.881506208,      -4.789468683,      -4.742028651,      -4.251608229
          0,           0,          28,      -4.825724882,      -4.905996853,      -4.815755037,      -4.766316656,      -4.279442994
          0,           0,          29,      -4.853225628,      -4.928523705,      -4.842951863,      -4.789656228,      -4.306040711
          0,           0,          30,      -4.879769425,      -4.949780492,      -4.871021734,       -4.81258737,       -4.33135104
          0,           0,          31,      -4.905239178,      -4.970486879,      -4.899792674,      -4.835677515,       -4.35550691
          0,           0,          32,      -4.929689074,       -4.99129848,      -4.929019017,      -4.859391419,       -4.37882739
          0,           0,          33,      -4.953292915,      -5.012725504,      -4.958463895,      -4.884025828,        -4.4017165
          0,           0,          34,      -4.976304724,      -5.035111184,      -4.987940909,       -4.90967521,      -4.424588044
          0,           0,          35,       -4.99899508,      -5.058597452,      -5.017270055,      -4.936258289,       -4.44777025
          0,           0,          36,      -5.021613681,       -5.08315995,      -5.046392222,      -4.963570759,      -4.471463971
          0,           0,          37,      -5.044348216,      -5.108641299,      -5.075325729,      -4.991352681,      -4.495723919
          0,           0,          38,      -5.067311875,      -5.134794443,       -5.10412675,      -5.019356062,      -4.520482686
          0,           0,          39,        -5.0905465,      -5.161337666,      -5.132887207,      -5.047392212,      -4.545592656
          0,           0,          40,      -5.114046711,      -5.188006088,      -5.161712362,      -5.075329189,      -4.570879636
          0,           0,          41,      -5.137788662,      -5.214583125,      -5.190717755,      -5.103107957,      -4.596193479
          0,           0,          42,      -5.161746281,      -5.240918634,      -5.220022558,      -5.130722563,      -4.621429042
          0,           0,          43,      -5.185907635,      -5.266935672,      -5.249715753,      -5.158185452,      -4.646542623
          0,           0,          44,      -5.210275598,      -5.292621864,      -5.279864485,      -5.185511196,      -4.671542674
          0,           0,          45,      -5.234851755,      -5.318003341,       -5.31049655,      -5.212708335,      -4.696463453
          0,           0,          46,      -5.259636809,      -5.343113758,      -5.341585704,       -5.23977437,      -4.721353735
          0,           0,          47,      -5.284603442,      -5.367977318,      -5.373063788,       -5.26669948,      -4.746241573
          0,           0,          48,      -5.309697916,        -5.3925987,       -5.40486618,      -5.293475684,      -4.771129622
          0,           0,          49,      -5.334861348,      -5.416967498,      -5.436897252,      -5.320115893,      -4.796019661
          0,           0,          50,      -5.360021808,      -5.441058168,      -5.469046006,      -5.346635369,       -4.82089952
          0,           0,          51,      -5.385109474,      -5.464837648,      -5.501210205,      -5.373061663,      -4.845755489
          0,           0,          52,      -5.410061952,      -5.488282765,      -5.533286766,      -5.399428428,      -4.870572226
          0,           0,          53,      -5.434830816,      -5.511387119,      -5.565219604,      -5.425770372,      -4.895335037
          0,           0,          54,      -5.459384587,      -5.534161796,      -5.596966627,      -5.452132715,      -4.920031155
          0,           0,          55,      -5.483703624,      -5.556634203,      -5.628493727,      -5.478560487,      -4.944639159
          0,           0,          56,      -5.507779968,      -5.578850447,      -5.659785734,      -5.505099049,      -4.969128856
          0,           0,          57,      -5.531627723,      -5.600876532,      -5.690839379,      -5.531798252,      -4.993477346
          0,           0,          58,      -5.555277463,      -5.622791917,      -5.721646113,      -5.558694948,      -5.017667786
          0,           0,          59,       -5.57876537,      -5.644685106,      -5.752200583,      -5.585820323,       -5.04168623
          0,           0,          60,      -5.602138436,      -5.666645529,      -5.782496474,      -5.613200216,      -5.065533398
          0,           0,          61,      -5.625449705,      -5.688757692,      -5.812531623,      -5.640863571,      -5.089223568
          0,           0,          62,      -5.648749322,      -5.711095177,      -5.842308917,      -5.668820954,      -5.112780619
          0,           0,          63,      -5.672086861,       -5.73371569,      -5.871839429,      -5.697080154,      -5.136243617
          0,           0,          64,      -5.695501962,      -5.756661218,      -5.901148009,      -5.725638235,      -5.159658164
          0,           0,          65,      -5.719027295,      -5.779959452,      -5.930287949,      -5.754471449,      -5.183080071
          0,           0,          66,      -5.742684899,      -5.803614332,      -5.959315806,        -5.7835659,      -5.206565173
          0,           0,          67,      -5.766487972,      -5.827607017,      -5.988293897,      -5.812880189,      -5.230167993
          0,           0,          68,      -5.790430061,      -5.851899798,      -6.017291335,      -5.842366171,      -5.253923911
          0,           0,          69,      -5.814501514,      -5.876436267,      -6.046372908,      -5.871970528,      -5.277863374
          0,           0,          70,      -5.838687313,      -5.901146705,      -6.075587426,       -5.90163668,       -5.30200374
          0,           0,          71,      -5.862963258,      -5.925955994,      -6.104957416,       -5.93131352,      -5.326340858
          0,           0,          72,      -5.887305429,      -5.950785844,      -6.134469467,      -5.960958935,      -5.350858551
          0,           0,          73,      -5.911691757,       -5.97556511,      -6.164092252,       -5.99054141,      -5.375528689
          0,           0,          74,      -5.936097385,      -6.000233743,      -6.193738846,      -6.020041153,      -5.400305998
          0,           0,          75,      -5.960500325,      -6.024747385,      -6.223291001,      -6.049450826,      -5.425137421
          0,           0,          76,      -5.984883896,      -6.049084272,      -6.252608515,      -6.078773598,      -5.449969135
          0,           0,          77,      -6.009231208,      -6.073246105,      -6.281547409,      -6.108022686,      -5.474744181
          0,           0,          78,      -6.033527727,      -6.097256464,      -6.309972465,      -6.137222342,      -5.499409729
          0,           0,          79,      -6.057765767,      -6.121160973,      -6.337790605,      -6.166382472,      -5.523927178
          0,           0,          80,      -6.081936353,      -6.145022083,      -6.364926399,      -6.195520775,      -5.548266711
          0,           0,          81,      -6.106033494,       -6.16890722,      -6.391363911,      -6.224652974,      -5.572414627
          0,           0,          82,      -6.130052222,      -6.192885697,      -6.417157827,       -6.25378898,       -5.59637201
          0,           0,          83,      -6.153991054,      -6.217023025,       -6.44241557,      -6.282938034,      -5.620156555
          0,           0,          84,      -6.177850255,      -6.241374576,      -6.467286032,      -6.312109581,      -5.643798639
          0,           0,          85,      -6.201634074,       -6.26598266,      -6.491944961,      -6.341310087,      -5.667340614
          0,           0,          86,      -6.225350286,      -6.290870297,      -6.516571873,      -6.370542314,      -5.690831224
          0,           0,          87,      -6.249009194,      -6.316036281,      -6.541334653,      -6.399810544,      -5.714319691
          0,           0,          88,      -6.272620462,       -6.34145746,      -6.566365335,      -6.429116538,       -5.73784843
          0,           0,          89,      -6.296196436,      -6.367090495,      -6.591752699,      -6.458457636,      -5.761453533
          0,           0,          90,      -6.319751331,      -6.392872496,      -6.617536351,      -6.487830614,      -5.785161181
          0,           0,          91,      -6.343300092,      -6.418723932,       -6.64370148,      -6.517233029,      -5.808985032
          0,           0,          92,      -6.366856032,      -6.444557177,       -6.67018239,      -6.546659803,      -5.832923484
          0,           0,          93,      -6.390429455,      -6.470282298,      -6.696872819,      -6.576100945,      -5.856960218
          0,           0,          94,      -6.414026395,      -6.495815263,      -6.723631172,      -6.605541947,      -5.881065159
          0,           0,          95,      -6.437646776,      -6.521085032,      -6.750298217,      -6.634962519,       -5.90519683
          0,           0,          96,      -6.461286041,      -6.546039401,      -6.776711397,      -6.664343368,      -5.929308425
